@type|@id|name|railway:ref|colour|start_date|@lat|@lon
node|35121250|Ratusz-Arsenał|Rz|blue|2001-05-11|52.2452163|21.0008823
node|291414851|Marymont|Mt|blue|2006-12-29|52.2715768|20.9719399
node|307389114|Stare Bielany|SB|blue|2008-10-25|52.2818277|20.9493511
node|307389115|Wawrzyszew|Ww|blue|2008-10-25|52.2863474|20.9395150
node|307389116|Młociny|My|blue|2008-10-25|52.2907703|20.9298678
node|1958108834|Słodowiec|Sc|blue|2008-04-23|52.2768261|20.9601259
node|3390187815|Dworzec Wileński|DW|#c60c30|2015-03-08|52.2537771|21.0357972
node|3390197100|Stadion Narodowy|Sn|#c60c30|2015-03-08|52.2468346|21.0428470
node|3390230685|Centrum Nauki Kopernik|Kk|#c60c30|2015-03-08|52.2399148|21.0317878
node|3390237898|Nowy Świat-Uniwersytet|NS|#c60c30|2015-03-08|52.2368196|21.0168168
node|3390266492|Rondo ONZ|RO|#c60c30|2015-03-08|52.2330735|20.9981024
node|3390267294|Rondo Daszyńskiego|Do|#c60c30|2015-03-08|52.2300827|20.9828946
node|3390283399|Kabaty|Ky|#2259a4|1995-04-07|52.1320765|21.0650711
node|3390289961|Stokłosy|Sy|blue|1995-04-07|52.1560759|21.0347233
node|3390290324|Natolin|N|blue|1995-04-07|52.1411007|21.0564351
node|3390290598|Imielin|I|blue|1995-04-07|52.1493000|21.0461062
node|3390304927|Ursynów|U|blue|1995-04-07|52.1620456|21.0276283
node|3390306374|Służew|Sw|blue|1995-04-07|52.1727624|21.0262866
node|3390327068|Racławicka|Ra||1995-04-07|52.1988637|21.0122349
node|3390333313|Wierzbno|Wo||1995-04-07|52.1898719|21.0167966
node|3390336021|Wilanowska|Wa|blue|1995-04-07|52.1818168|21.0231452
node|3390342469|Pole Mokotowskie|PM|blue|1995-04-07|52.2087775|21.0079298
node|3390361095|Politechnika|Pa|blue|1995-04-07|52.2186581|21.0153031
node|3390365405|Centrum|C|blue|1998-05-26|52.2310069|21.0101860
node|3416840991|Dworzec Gdański|DG|blue|2003-12-20|52.2580586|20.9941857
node|3615569910|Plac Wilsona|PW|blue|2006-12-29|52.2692619|20.9844973
node|4930657482|Płocka|Pa|#c60c30|2020-04-04|52.2324542|20.9663847
node|4930657487|Trocka|Ta|#c60c30|2019-09-15|52.2751021|21.0550586
node|5117464830|Świętokrzyska|Sa||2001-05-11|52.2350954|21.0078988
node|5907821373|Księcia Janusza|KJ|#c60c30|2020-04-04|52.2391822|20.9443771
node|5907821374|Młynów|Mw|#c60c30|2020-04-04|52.2376624|20.9601048
node|6053348692|Szwedzka|Sz|#c60c30|2019-09-15|52.2634709|21.0455232
node|6564265270|Targówek Mieszkaniowy|Tk|#c60c30|2019-09-15|52.2692518|21.0513658
node|7362922676|Bemowo|Bm|#c60c30|2022-06-30|52.2392071|20.9154991
node|7362922677|Ulrychów|Uw|#c60c30|2022-06-30|52.2403314|20.9298652
node|10058224345|Bródno|Bo|#c60c30||52.2935850|21.0289387
node|10058224348|Kondratowicza|Ka|#c60c30|2022-09-28|52.2920848|21.0486889
node|10058224349|Zacisze|Ze|#c60c30|2022-09-28|52.2837496|21.0621480
